SummaryNr,Degree,Nature,Occupation,FallDist,Cause,FatCause
202352183,3,7,1,2,3,7
201144482,3,1,4,2,2,2
201067105,4,1,2,1,2,7
201612520,3,1,1,2,2,2
201311099,4,1,12,1,2,7
201681673,3,1,12,2,3,7
201485976,3,1,2,1,2,2
201096831,3,1,5,3,3,2
201486164,3,1,2,2,2,2
200451466,4,3,12,3,1,7
201174075,3,1,2,1,1,7
170839039,3,1,2,1,2,4
202352928,3,7,15,2,2,4
201485927,3,1,2,1,1,7
202351102,4,7,12,3,2,2
170710842,3,1,2,2,2,7
201116654,3,1,2,2,3,2
202352910,3,1,15,2,2,4
201942075,4,3,2,3,2,2
201181740,3,1,2,1,4,7
201521754,4,3,12,2,2,7
200122455,4,6,15,3,4,7
201057684,3,7,15,2,2,2
201057684,3,7,15,2,2,2
201057684,3,3,15,2,2,2
200331361,4,6,12,3,2,2
200772754,3,1,12,2,2,7
200150787,4,1,12,2,1,4
201580834,4,1,1,3,11,2
201115631,1,7,5,1,3,7
201066552,3,1,2,1,2,2
200170504,4,1,1,3,2,7
170667844,3,1,2,1,1,4
202251112,3,1,12,2,2,7
202251112,3,1,12,2,2,7
200170496,4,5,12,1,2,2
202347506,3,1,5,2,2,7
201343373,3,1,12,3,2,7
201343373,3,1,12,3,2,7
202013918,3,1,2,2,2,2
201485646,3,1,2,2,1,7
200822096,3,7,15,1,3,4
201084670,3,1,5,1,6,7
200630903,4,1,12,3,2,2
201057437,3,3,2,1,3,7
201633666,3,1,12,3,2,7
200580041,4,6,12,1,2,2
201621380,3,1,12,1,2,2
201633542,4,3,12,2,3,4
201103967,3,1,2,1,2,7
201922762,4,3,5,3,6,2
201503778,3,1,12,1,11,7
201103926,3,1,2,1,2,7
201103801,3,1,2,1,2,7
201164779,3,1,15,1,3,7
201164878,3,1,5,2,2,2
201504040,3,1,2,2,4,7
201035045,3,1,4,1,2,7
201173713,3,1,2,1,2,7
201352085,4,1,12,2,2,2
201181468,1,1,2,3,3,7
200772531,3,7,12,1,8,4
014269260,4,3,6,3,1,7
201084068,3,1,1,3,2,2
201181567,3,3,15,1,16,4
201172988,3,1,2,1,4,4
201633492,3,1,2,2,2,2
200051977,3,1,12,3,2,7
202347282,4,3,2,1,3,7
200022713,3,3,12,2,3,7
202346920,3,7,15,1,6,4
200611481,3,1,15,3,2,7
202340386,3,7,12,1,2,7
201181385,3,1,12,1,3,7
170842405,4,1,2,1,8,7
200772382,3,7,12,1,2,4
201172558,3,1,2,1,2,7
200741288,4,1,12,1,2,7
200921062,4,7,6,1,3,4
201181336,3,1,1,1,2,2
306071259,1,7,15,2,6,2
200051910,4,1,12,3,2,2
201083912,3,1,4,1,8,4
200772325,3,1,12,2,2,7
200231280,4,6,12,2,1,7
