SummaryNr,Degree,Nature,Occupation,FallDist,Cause,FatCause,TaskAssigned,HumanFactor,EnvironmentFactor,EventType,SourceInjury,PartBody,ProjType, ProjCost,EndUse
202549606,1,1,2,1,2,2,1,2,2,1,3,0,0,1,1
200831337,1,2,1,3,0,3,1,2,2,1,4,0,1,2,4
202367595,1,1,1,2,2,2,1,1,1,1,3,0,0,1,3
202367595,3,0,1,2,2,2,1,1,1,1,3,1,0,1,3
202088688,1,1,2,3,0,6,1,1,2,1,0,0,1,6,1
201924487,2,1,1,3,2,4,1,4,1,1,1,3,1,4,2
200831329,3,4,3,1,0,4,1,7,1,1,1,4,1,6,1
200462307,2,1,1,2,0,2,1,7,1,1,3,1,3,1,4
202562617,1,1,2,2,0,3,1,1,1,1,1,2,1,2,1
202562609,1,1,0,1,0,0,1,2,2,0,0,0,0,1,0
202549424,1,1,3,2,0,3,1,2,2,1,2,0,1,1,1
201637923,1,2,1,3,1,1,2,1,2,1,2,4,3,1,2
170839856,1,1,2,2,0,5,1,4,1,1,1,5,1,2,3
200831295,1,2,1,2,1,4,1,2,2,1,1,0,1,1,1
200831295,1,0,1,2,1,4,1,2,2,1,1,0,1,1,1
202539722,1,1,3,2,0,3,1,1,2,1,4,5,1,4,2
200925402,2,0,0,2,0,3,1,5,1,1,2,1,1,3,1
309301711,1,1,0,1,0,0,1,1,2,0,4,5,1,3,2
200677433,2,2,4,3,1,2,1,7,2,1,3,1,1,4,2
201720307,2,2,2,1,2,6,1,2,2,1,4,1,1,6,4
200831394,3,0,1,1,0,0,1,1,2,1,2,5,1,2,4
200831394,3,0,1,1,0,0,1,1,2,1,2,5,1,2,4
201751757,2,2,4,1,1,1,1,1,1,1,0,1,2,1,2
202527966,1,1,1,2,1,1,1,1,2,1,4,0,2,5,1
201250206,2,1,2,2,0,2,1,4,1,1,3,1,2,2,3
202517751,1,2,2,1,0,4,1,2,2,1,1,1,1,3,1
201203940,1,1,0,1,0,0,1,0,1,1,1,5,1,4,2
202517348,1,1,3,2,1,1,1,3,4,1,5,0,1,4,3
201637766,1,4,3,3,0,0,1,1,2,1,1,2,1,6,1
200644094,2,4,1,1,0,0,1,0,1,1,0,1,1,1,1
202527792,1,1,0,1,0,2,1,1,4,1,3,0,1,3,2
201043734,2,1,0,3,0,5,1,2,2,1,1,0,1,6,1
202549192,3,1,0,1,0,0,1,2,3,1,5,0,1,3,3
200775161,3,4,1,2,1,1,2,1,1,1,1,0,2,2,1
202475042,3,2,1,1,0,3,1,4,2,1,1,1,1,6,4
202518379,1,1,3,2,1,1,1,3,1,1,2,4,3,1,1
201184561,1,3,0,2,0,4,1,2,1,1,1,1,3,2,4
202448189,1,1,2,1,2,1,1,1,2,1,2,0,1,3,3
202079414,2,2,1,2,1,1,1,2,2,1,4,1,1,2,2
201637899,1,1,1,2,0,1,1,0,0,1,2,5,1,1,0
202527636,3,1,2,1,0,2,1,0,4,1,3,0,1,3,2
202517181,1,1,3,2,0,1,1,3,1,1,2,0,1,2,1
202474490,2,2,3,2,0,3,1,6,2,1,4,2,0,5,3
201043692,1,0,0,1,0,2,1,4,1,1,3,0,2,3,3
202448171,1,1,2,2,2,4,1,2,2,1,1,0,2,2,2
202465910,1,0,3,2,0,2,1,2,0,1,0,0,0,1,1
200775138,1,1,1,1,0,2,2,2,3,1,3,0,2,1,1
201149804,1,1,0,2,0,4,1,2,2,1,4,0,1,3,2
201021573,1,1,2,2,0,1,2,1,1,1,5,0,2,2,2
202501995,1,1,3,2,0,5,1,1,1,1,1,1,2,3,1
201622503,1,0,0,1,0,0,1,0,0,0,0,0,1,3,1
202466330,1,1,1,2,0,5,1,4,2,1,2,4,2,1,1
201184207,1,3,0,1,0,5,1,1,2,1,0,1,2,2,1
201321247,2,2,2,2,2,1,1,4,1,1,1,0,2,2,2
201490372,1,3,0,2,0,2,1,6,2,1,3,1,3,1,0
170839823,1,1,2,2,2,2,1,4,1,1,3,0,3,1,4
201072113,1,3,2,1,2,3,1,1,2,1,2,1,1,3,2
200083376,3,1,1,2,0,1,2,1,0,1,5,0,2,3,0
201043551,2,2,1,3,0,5,1,3,1,1,5,2,1,7,1
202486551,3,1,1,1,0,2,1,3,2,0,3,0,1,1,2
200555183,2,2,1,3,0,6,1,1,1,1,1,1,2,3,4
202539482,1,2,2,1,0,2,1,2,4,1,3,2,1,7,1
202527339,1,1,1,1,2,2,1,1,1,1,3,0,2,2,2
202499455,3,0,3,1,0,0,1,2,3,0,0,5,1,3,0
202499455,3,0,3,1,0,0,1,2,3,0,0,5,1,3,0
201021466,1,0,0,1,0,4,1,4,2,0,4,0,2,2,1
202448254,1,1,2,3,2,1,1,3,2,1,4,2,1,5,2
202486502,1,0,1,1,0,3,1,0,0,0,0,0,1,1,2
201039872,1,2,1,1,0,2,1,1,2,1,3,4,1,3,3
202454369,1,2,3,1,0,0,1,2,1,1,1,1,2,2,3
201942596,2,2,2,2,1,1,1,5,1,1,1,2,1,2,2
201184264,1,1,0,1,0,3,1,1,2,1,1,4,1,3,1
201169810,1,1,3,3,0,1,1,3,1,1,2,0,1,3,2
201859485,2,0,0,1,3,2,2,1,1,1,1,4,1,4,3
200462240,2,2,2,2,2,1,1,5,2,1,4,1,1,5,2
202454153,1,1,4,2,1,1,1,1,1,1,1,3,1,7,2
202527081,3,1,2,2,2,6,1,6,2,1,4,0,1,3,4
202448213,1,1,0,2,2,6,1,1,2,1,5,2,1,4,1
201043460,2,2,0,3,3,5,1,1,4,1,1,1,1,7,4
200331981,1,1,1,3,0,3,1,3,2,1,4,2,0,3,0
200151280,2,2,1,2,0,4,1,4,1,1,1,1,1,5,2
202506325,1,1,0,2,2,1,2,1,0,1,4,2,1,2,2
311310064,2,4,3,3,0,6,2,4,2,1,2,3,1,7,1
170839799,1,1,0,1,0,2,1,0,1,1,3,0,2,1,2
200801934,3,4,2,3,2,3,1,2,2,1,2,5,1,2,1
200801934,1,1,2,3,2,3,1,2,2,1,2,3,1,2,1
200801934,3,0,2,3,2,3,1,2,2,1,2,4,1,2,1
200881431,2,1,4,2,1,1,1,4,1,1,2,1,3,1,2
200331973,2,2,1,3,2,5,1,1,2,1,0,2,1,5,2
201071636,1,1,3,1,0,2,1,2,3,1,3,0,1,7,3
200331999,2,2,3,3,0,5,1,2,2,1,1,3,1,3,1
