SummaryNr,Degree,Nature,Occupation,FallDist,Cause,FatCause,TaskAssigned,HumanFactor,EnvironmentFactor,EventType,SourceInjury,PartBody,ProjType, ProjCost,EndUse
200774255,1,4,1,2,1,4,1,6,2,1,1,4,1,2,2
200801462,1,1,1,3,7,4,1,1,2,1,4,4,1,6,3
201692365,1,0,3,2,1,1,1,3,1,1,1,6,3,2,4
201087210,1,1,2,2,8,3,1,1,4,1,5,2,1,5,1
202462834,1,1,2,2,2,2,1,2,2,1,3,11,2,5,4
171044035,1,1,5,1,21,2,1,1,3,1,3,11,1,1,1
201069671,1,1,2,1,2,2,1,4,1,1,3,2,2,2,2
201522604,1,2,4,3,1,1,1,2,1,1,2,6,4,5,2
200643419,2,1,1,2,13,3,1,1,1,1,1,1,1,2,3
201506052,1,1,1,2,2,2,1,1,1,1,3,11,1,2,2
200774206,1,4,1,2,23,2,1,6,2,1,4,3,1,2,1
201167434,2,3,2,1,6,3,1,6,2,1,3,1,1,1,2
201167368,1,1,3,1,1,2,1,8,3,1,3,2,3,1,1
202365243,2,2,1,3,2,5,1,9,1,1,5,2,4,1,3
201107216,1,1,2,1,2,2,1,1,1,1,3,4,1,4,3
125534040,1,1,2,2,2,3,1,1,1,1,1,5,1,5,5
200923274,2,2,3,2,2,1,1,5,1,1,2,2,1,1,2
200801454,1,1,2,3,15,5,1,2,1,1,1,6,1,7,1
202359212,1,1,6,2,2,1,1,3,2,1,1,8,1,4,2
201147303,2,2,2,3,1,1,1,2,2,1,4,1,1,6,1
